"Date","Region","Hospitalised","In ICU","Home Isolation","Healed","Dead","Tests","People Tested","ICU Entries","Swab Test Positive","Antigenic Test Positive","Swab Tests","Antigenic Tests"
2020-04-18,"Campania",-17,0,35,12,7,2597,NA,NA,37,NA,2597,NA
2020-04-18,"Emilia Romagna",-96,-13,108,289,62,4394,NA,NA,350,NA,4394,NA
2020-04-18,"Friuli V.G.",-7,4,-22,79,2,3263,NA,NA,56,NA,3263,NA
2020-04-18,"Lazio",44,-1,25,68,8,4798,NA,NA,144,NA,4798,NA
2020-04-18,"Liguria",4,0,-51,129,31,1141,NA,NA,113,NA,1141,NA
2020-04-18,"Lombardia",-585,-24,1370,286,199,11818,NA,NA,1246,NA,11818,NA
2020-04-18,"Marche",-35,-6,56,28,10,1912,NA,NA,53,NA,1912,NA
2020-04-18,"Molise",1,0,0,-1,0,0,NA,NA,0,NA,0,NA
2020-04-18,"Bolzano",-2,-4,-20,50,5,1190,NA,NA,29,NA,1190,NA
2020-04-18,"Trento",-10,-2,7,54,6,1226,NA,NA,55,NA,1226,NA
2020-04-18,"Piemonte",5,-10,230,355,81,5130,NA,NA,661,NA,5130,NA
2020-04-18,"Puglia",4,-2,36,37,7,2145,NA,NA,82,NA,2145,NA
2020-04-18,"Sardegna",-1,0,10,11,0,783,NA,NA,20,NA,783,NA
2020-04-18,"Sicilia",5,-4,31,9,6,2543,NA,NA,47,NA,2543,NA
2020-04-18,"Toscana",-15,-9,-89,224,16,3672,NA,NA,127,NA,3672,NA
2020-04-18,"Umbria",-2,1,-62,70,0,1288,NA,NA,7,NA,1288,NA
2020-04-18,"Valle d'Aosta",-1,1,58,21,1,155,NA,NA,80,NA,155,NA
2020-04-18,"Veneto",-72,-7,-95,459,33,10607,NA,NA,318,NA,10607,NA
2020-04-19,"Abruzzo",-4,-1,21,13,5,775,NA,NA,34,NA,775,NA
2020-04-19,"Basilicata",-1,0,-14,17,1,472,NA,NA,3,NA,472,NA
2020-04-19,"Calabria",-10,-1,23,10,2,966,NA,NA,24,NA,966,NA
2020-04-19,"Campania",-15,-15,7,60,4,1893,NA,NA,41,NA,1893,NA
2020-04-19,"Emilia Romagna",-68,-7,43,350,58,3696,NA,NA,376,NA,3696,NA
2020-04-19,"Friuli V.G.",-1,-2,-63,77,3,1329,NA,NA,14,NA,1329,NA
2020-04-19,"Lazio",-6,-1,46,47,1,2254,NA,NA,87,NA,2254,NA
2020-04-19,"Liguria",-16,-4,98,118,31,2229,NA,NA,227,NA,2229,NA
2020-04-19,"Lombardia",300,-25,27,390,163,8824,NA,NA,855,NA,8824,NA
2020-04-19,"Marche",-5,-2,17,26,12,1565,NA,NA,48,NA,1565,NA
2020-04-19,"Molise",0,0,6,3,1,502,NA,NA,10,NA,502,NA
2020-04-19,"Bolzano",-17,-5,32,39,6,1473,NA,NA,55,NA,1473,NA
2020-04-19,"Trento",2,-1,-15,103,12,1241,NA,NA,101,NA,1241,NA
2020-04-19,"Piemonte",-70,-18,335,267,79,4725,NA,NA,593,NA,4725,NA
2020-04-19,"Puglia",-4,0,96,26,2,2175,NA,NA,120,NA,2175,NA
2020-04-19,"Sardegna",5,-1,-21,34,0,772,NA,NA,17,NA,772,NA
2020-04-19,"Sicilia",-4,-1,36,10,4,2057,NA,NA,45,NA,2057,NA
2020-04-19,"Toscana",-31,-6,63,90,19,4072,NA,NA,135,NA,4072,NA
2020-04-19,"Umbria",-1,-2,8,-2,1,1064,NA,NA,4,NA,1064,NA
2020-04-19,"Valle d'Aosta",-5,0,18,1,1,156,NA,NA,15,NA,156,NA
2020-04-19,"Veneto",-23,-6,-205,449,28,8468,NA,NA,243,NA,8468,NA
2020-04-20,"Abruzzo",3,-2,74,11,5,151,128,NA,91,NA,151,NA
2020-04-20,"Basilicata",0,-1,-4,5,0,340,340,NA,0,NA,340,NA
2020-04-20,"Calabria",-2,1,-15,19,0,613,613,NA,3,NA,613,NA
2020-04-20,"Campania",-4,0,1,43,5,2903,1159,NA,45,NA,2903,NA
2020-04-20,"Emilia Romagna",-22,-6,-2,281,56,4614,2118,NA,307,NA,4614,NA
2020-04-20,"Friuli V.G.",0,-3,-144,163,14,539,1233,NA,30,NA,539,NA
2020-04-20,"Lazio",18,0,26,8,8,6016,365,NA,60,NA,6016,NA
2020-04-20,"Liguria",-7,1,12,106,29,1456,876,NA,141,NA,1456,NA
2020-04-20,"Lombardia",-204,-21,315,482,163,6331,-10424,NA,735,NA,6331,NA
2020-04-20,"Marche",-7,-6,43,12,15,1308,907,NA,57,NA,1308,NA
2020-04-20,"Molise",0,-2,0,3,1,199,201,NA,2,NA,199,NA
2020-04-20,"Bolzano",-2,-4,-20,36,4,1020,306,NA,14,NA,1020,NA
2020-04-20,"Trento",-6,-1,-35,94,6,1823,662,NA,58,NA,1823,NA
2020-04-20,"Piemonte",98,-4,-7,127,78,3100,1548,NA,292,NA,3100,NA
2020-04-20,"Puglia",-6,6,24,4,10,1591,1539,NA,38,NA,1591,NA
2020-04-20,"Sardegna",-2,-1,-7,23,0,469,400,NA,13,NA,469,NA
2020-04-20,"Sicilia",4,-2,6,31,3,1601,1601,NA,42,NA,1601,NA
2020-04-20,"Toscana",-2,-10,84,33,30,1882,1326,NA,135,NA,1882,NA
2020-04-20,"Umbria",5,-1,-16,13,0,392,309,NA,1,NA,392,NA
2020-04-20,"Valle d'Aosta",0,-2,-12,12,2,122,108,NA,0,NA,122,NA
2020-04-20,"Veneto",9,-4,-154,316,25,5013,2526,NA,192,NA,5013,NA
2020-04-21,"Abruzzo",-2,-3,10,42,8,1964,1349,NA,55,NA,1964,NA
2020-04-21,"Basilicata",5,0,-2,5,0,602,602,NA,8,NA,602,NA
2020-04-21,"Calabria",-7,0,-2,17,1,1067,1067,NA,9,NA,1067,NA
2020-04-21,"Campania",-54,-3,-16,126,8,2458,1352,NA,61,NA,2458,NA
2020-04-21,"Emilia Romagna",-99,-1,-178,435,68,5348,2473,NA,225,NA,5348,NA
2020-04-21,"Friuli V.G.",-1,-1,134,-117,2,3339,2575,NA,17,NA,3339,NA
2020-04-21,"Lazio",-8,-1,46,29,14,2208,979,NA,80,NA,2208,NA
2020-04-21,"Liguria",36,-8,-61,95,33,1179,691,NA,95,NA,1179,NA
2020-04-21,"Lombardia",-333,-50,-226,1366,203,6711,0,NA,960,NA,6711,NA
2020-04-21,"Marche",-8,-2,16,33,12,1550,1084,NA,51,NA,1550,NA
2020-04-21,"Molise",0,0,0,1,0,341,332,NA,1,NA,341,NA
2020-04-21,"Bolzano",-1,1,-4,18,2,606,316,NA,16,NA,606,NA
2020-04-21,"Trento",-18,-2,0,34,10,399,358,NA,24,NA,399,NA
2020-04-21,"Piemonte",-183,-8,445,276,76,5765,3214,NA,606,NA,5765,NA
2020-04-21,"Puglia",-15,-1,18,28,25,1795,1641,NA,55,NA,1795,NA
2020-04-21,"Sardegna",-3,0,-14,18,7,558,366,NA,8,NA,558,NA
2020-04-21,"Sicilia",-12,-2,63,24,3,3720,3720,NA,76,NA,3720,NA
2020-04-21,"Toscana",-17,-11,82,23,19,4068,1771,NA,96,NA,4068,NA
2020-04-21,"Umbria",-6,-7,-4,19,2,1077,774,NA,4,NA,1077,NA
2020-04-21,"Valle d'Aosta",-3,0,-23,32,-1,112,59,NA,5,NA,112,NA
2020-04-21,"Veneto",-43,-3,62,219,42,7259,3372,NA,277,NA,7259,NA
2020-04-22,"Abruzzo",-9,0,50,20,5,442,416,NA,66,NA,442,NA
2020-04-22,"Basilicata",1,0,-14,17,0,570,570,NA,4,NA,570,NA
2020-04-22,"Calabria",-5,0,7,11,0,1120,964,NA,13,NA,1120,NA
2020-04-22,"Campania",-9,-5,66,-12,10,2153,1174,NA,50,NA,2153,NA
2020-04-22,"Emilia Romagna",-81,0,-79,445,57,5996,3457,NA,342,NA,5996,NA
2020-04-22,"Friuli V.G.",-5,-1,-8,34,5,2369,1519,NA,25,NA,2369,NA
2020-04-22,"Lazio",4,3,54,12,7,4031,1198,NA,80,NA,4031,NA
2020-04-22,"Liguria",-54,-2,69,109,32,1804,1086,NA,154,NA,1804,NA
2020-04-22,"Lombardia",-113,-34,411,736,161,13502,10990,NA,1161,NA,13502,NA
2020-04-22,"Marche",-49,-2,63,24,11,2160,1453,NA,47,NA,2160,NA
2020-04-22,"Molise",-6,0,-2,9,1,301,237,NA,2,NA,301,NA
2020-04-22,"Bolzano",-2,-1,-21,25,5,735,331,NA,6,NA,735,NA
2020-04-22,"Trento",-9,-4,-22,62,5,64,-33,NA,32,NA,64,NA
2020-04-22,"Piemonte",97,-20,234,399,74,6079,4770,NA,784,NA,6079,NA
2020-04-22,"Puglia",-5,-5,72,35,11,2358,2165,NA,108,NA,2358,NA
2020-04-22,"Sardegna",-15,-1,12,12,3,1000,828,NA,11,NA,1000,NA
2020-04-22,"Sicilia",-14,-2,44,18,2,3639,3639,NA,48,NA,3639,NA
2020-04-22,"Toscana",-13,3,-445,533,19,4175,4030,NA,97,NA,4175,NA
2020-04-22,"Umbria",-10,-2,-24,39,1,1016,806,NA,4,NA,1016,NA
2020-04-22,"Valle d'Aosta",-7,0,-14,22,1,113,42,NA,2,NA,113,NA
2020-04-22,"Veneto",-25,-14,-47,393,27,9474,4606,NA,334,NA,9474,NA
2020-04-23,"Abruzzo",13,-4,-17,56,4,839,434,NA,52,NA,839,NA
2020-04-23,"Basilicata",-4,0,1,5,0,471,471,NA,2,NA,471,NA
2020-04-23,"Calabria",1,0,1,7,0,1309,1309,NA,9,NA,1309,NA
2020-04-23,"Campania",16,-6,-30,68,5,2623,0,NA,53,NA,2623,NA
2020-04-23,"Emilia Romagna",-75,-16,-148,463,65,5272,2890,NA,289,NA,5272,NA
2020-04-23,"Friuli V.G.",4,-2,-175,204,10,2049,1186,NA,41,NA,2049,NA
2020-04-23,"Lazio",1,-1,23,51,5,7011,1054,NA,79,NA,7011,NA
2020-04-23,"Liguria",-77,-1,68,116,25,1852,1289,NA,131,NA,1852,NA
2020-04-23,"Lombardia",-500,-27,158,1242,200,12016,6128,NA,1073,NA,12016,NA
2020-04-23,"Marche",-8,-5,13,16,12,1170,1130,NA,28,NA,1170,NA
2020-04-23,"Molise",-2,-1,-4,6,1,139,226,NA,0,NA,139,NA
2020-04-23,"Bolzano",-16,-2,0,32,5,1272,706,NA,19,NA,1272,NA
2020-04-23,"Trento",-11,-5,13,83,1,1566,984,NA,81,NA,1566,NA
2020-04-23,"Piemonte",-174,-12,216,300,71,6457,3472,NA,401,NA,6457,NA
2020-04-23,"Puglia",-28,-5,95,37,10,2068,2478,NA,109,NA,2068,NA
2020-04-23,"Sardegna",-7,0,-9,21,2,958,740,NA,7,NA,958,NA
2020-04-23,"Sicilia",-24,-1,39,24,5,3418,3418,NA,43,NA,3418,NA
2020-04-23,"Toscana",-29,-6,39,58,18,4077,2679,NA,80,NA,4077,NA
2020-04-23,"Umbria",3,-1,-18,21,0,1356,948,NA,5,NA,1356,NA
2020-04-23,"Valle d'Aosta",-1,1,-38,39,0,203,122,NA,1,NA,203,NA
2020-04-23,"Veneto",-16,-23,-27,184,25,10532,5419,NA,143,NA,10532,NA
2020-04-24,"Abruzzo",5,-3,-23,33,6,1210,646,NA,18,NA,1210,NA
2020-04-24,"Basilicata",-2,0,2,4,0,515,515,NA,4,NA,515,NA
2020-04-24,"Calabria",-6,0,4,8,4,895,624,NA,10,NA,895,NA
2020-04-24,"Campania",-15,-3,-17,75,4,3007,1374,NA,44,NA,3007,NA
2020-04-24,"Emilia Romagna",-82,-2,-252,549,34,5359,2781,NA,247,NA,5359,NA
2020-04-24,"Friuli V.G.",-2,-2,189,-163,2,2584,1490,NA,24,NA,2584,NA
2020-04-24,"Lazio",11,-2,-3,63,9,3244,60247,NA,78,NA,3244,NA
2020-04-24,"Liguria",-23,-4,-2,124,29,1721,995,NA,124,NA,1721,NA
2020-04-24,"Lombardia",-401,-34,930,430,166,11583,5955,NA,1091,NA,11583,NA
2020-04-24,"Marche",-22,-10,75,25,8,1501,1440,NA,76,NA,1501,NA
2020-04-24,"Molise",0,0,2,1,0,241,240,NA,3,NA,241,NA
2020-04-24,"Bolzano",7,-1,-407,420,2,1068,582,NA,21,NA,1068,NA
2020-04-24,"Trento",-10,-1,-33,86,7,1539,594,NA,49,NA,1539,NA
2020-04-24,"Piemonte",-121,-4,364,374,69,7330,4744,NA,682,NA,7330,NA
2020-04-24,"Puglia",-40,-4,41,34,11,2062,2114,NA,42,NA,2062,NA
2020-04-24,"Sardegna",5,-1,-17,12,4,2045,1956,NA,3,NA,2045,NA
2020-04-24,"Sicilia",-15,-2,36,31,5,3015,1476,NA,55,NA,3015,NA
2020-04-24,"Toscana",-53,-9,24,116,19,3159,1754,NA,97,NA,3159,NA
2020-04-24,"Umbria",-6,0,-27,33,1,1513,1106,NA,1,NA,1513,NA
2020-04-24,"Valle d'Aosta",-3,-2,-104,111,2,35,321,NA,4,NA,35,NA
2020-04-24,"Veneto",-30,-10,-206,556,38,8821,4319,NA,348,NA,8821,NA
2020-04-25,"Abruzzo",-4,-2,-12,40,7,1227,562,NA,29,NA,1227,NA
2020-04-25,"Basilicata",-1,0,-10,11,1,766,766,NA,1,NA,766,NA
2020-04-25,"Calabria",2,0,-12,19,0,1195,1195,NA,9,NA,1195,NA
2020-04-25,"Campania",19,11,-38,20,5,3190,1346,NA,17,NA,3190,NA
2020-04-25,"Emilia Romagna",-89,-18,-55,357,44,5378,3133,NA,239,NA,5378,NA
2020-04-25,"Friuli V.G.",-14,-1,-221,252,5,2873,1664,NA,21,NA,2873,NA
